iter	Passed	Remaining
0	3	3241
1	5	2901
2	8	2683
3	10	2555
4	12	2465
5	14	2393
6	16	2356
7	19	2376
8	21	2387
9	23	2368
10	26	2346
11	28	2363
12	31	2388
13	34	2418
14	37	2486
15	40	2520
16	44	2556
17	47	2580
18	50	2584
19	52	2577
20	54	2560
21	57	2564
22	59	2541
23	61	2519
24	64	2498
25	66	2494
26	68	2481
27	70	2463
28	73	2445
29	75	2429
30	77	2414
31	79	2400
32	81	2400
33	84	2405
34	86	2397
35	89	2386
36	91	2374
37	93	2362
38	95	2350
39	98	2352
40	100	2345
41	102	2336
42	104	2325
43	106	2316
44	108	2306
45	110	2298
46	113	2300
47	115	2295
48	117	2286
49	120	2281
50	122	2272
51	124	2264
52	126	2256
53	128	2253
54	131	2258
55	133	2253
56	135	2245
57	137	2237
58	139	2229
59	141	2222
60	144	2224
61	146	2222
62	149	2222
63	152	2224
64	154	2220
65	156	2214
66	158	2207
67	160	2204
68	163	2200
69	165	2194
70	167	2188
71	169	2182
72	171	2176
73	173	2171
74	176	2171
75	178	2172
76	180	2169
77	183	2163
78	185	2158
79	187	2153
80	189	2147
81	191	2147
82	194	2150
83	197	2148
84	199	2146
85	201	2144
86	204	2141
87	206	2138
88	209	2144
89	212	2145
90	214	2141
91	216	2137
92	218	2135
93	221	2131
94	223	2132
95	226	2130
96	228	2127
97	230	2123
98	232	2118
99	234	2114
100	237	2109
101	239	2110
102	242	2110
103	244	2106
104	246	2102
105	248	2098
106	251	2095
107	253	2092
108	256	2093
109	259	2095
110	261	2096
111	264	2096
112	266	2093
113	268	2089
114	271	2089
115	273	2087
116	276	2084
117	278	2081
118	280	2077
119	282	2074
120	284	2069
121	287	2071
122	290	2070
123	292	2066
124	295	2065
125	297	2063
126	299	2060
127	302	2062
128	305	2062
129	308	2062
130	310	2060
131	312	2058
132	315	2055
133	318	2056
134	320	2055
135	323	2053
136	325	2051
137	327	2048
138	330	2045
139	332	2043
140	335	2043
141	337	2041
142	340	2040
143	343	2039
144	345	2037
145	348	2037
146	351	2038
147	353	2037
148	356	2038
149	359	2036
150	361	2032
151	363	2029
152	366	2028
153	368	2025
154	370	2021
155	373	2018
156	375	2014
157	377	2011
158	380	2010
159	383	2010
160	386	2011
161	389	2012
162	391	2010
163	393	2007
164	396	2006
165	399	2007
166	401	2005
167	404	2002
168	406	1998
169	408	1995
170	411	1994
171	414	1994
172	416	1992
173	419	1991
174	421	1988
175	424	1986
176	426	1985
177	429	1985
178	432	1983
179	434	1981
180	437	1978
181	439	1976
182	442	1973
183	445	1974
184	447	1972
185	450	1969
186	452	1965
187	454	1961
188	456	1957
189	458	1954
190	460	1951
191	462	1947
192	465	1944
193	467	1941
194	469	1937
195	471	1933
196	473	1929
197	476	1928
198	478	1925
199	480	1922
200	482	1918
201	484	1914
202	486	1910
203	488	1907
204	491	1906
205	494	1904
206	496	1900
207	498	1897
208	500	1893
209	502	1890
210	504	1886
211	506	1884
212	509	1881
213	511	1878
214	513	1875
215	515	1872
216	517	1868
217	519	1865
218	522	1862
219	524	1859
220	526	1856
221	528	1852
222	530	1849
223	532	1846
224	535	1842
225	537	1839
226	540	1840
227	542	1837
228	544	1833
229	546	1830
230	548	1827
231	550	1823
232	553	1821
233	556	1823
234	559	1820
235	561	1818
236	563	1815
237	565	1811
238	568	1808
239	570	1806
240	572	1804
241	574	1800
242	577	1798
243	579	1796
244	581	1792
245	584	1791
246	586	1789
247	588	1785
248	591	1783
249	593	1780
250	595	1777
251	597	1774
252	600	1772
253	603	1771
254	605	1768
255	607	1766
256	610	1763
257	612	1760
258	614	1757
259	616	1756
260	619	1753
261	621	1751
262	623	1748
263	626	1745
264	628	1742
265	630	1739
