time,pm25,pm10,co,no2,o3
2026-01-01 00:00:00,100.4,100.6,961.0,79.6,3.0
2026-01-01 01:00:00,110.1,110.6,832.0,77.6,3.0
2026-01-01 02:00:00,116.9,118.3,657.0,75.2,1.0
2026-01-01 03:00:00,123.4,125.3,507.0,72.6,0.0
2026-01-01 04:00:00,136.0,137.4,582.0,70.2,2.0
2026-01-01 05:00:00,147.6,149.5,1142.0,69.5,12.0
2026-01-01 06:00:00,143.9,144.8,1927.0,68.9,29.0
2026-01-01 07:00:00,102.2,104.5,2359.0,59.1,51.0
2026-01-01 08:00:00,72.9,73.1,2080.0,51.2,73.0
2026-01-01 09:00:00,58.0,58.2,1448.0,40.1,105.0
2026-01-01 10:00:00,46.9,47.1,958.0,30.3,134.0
2026-01-01 11:00:00,42.4,42.6,780.0,22.9,158.0
2026-01-01 12:00:00,41.0,41.2,744.0,16.8,180.0
2026-01-01 13:00:00,39.7,39.9,841.0,13.0,193.0
2026-01-01 14:00:00,40.3,40.5,1008.0,11.6,197.0
2026-01-01 15:00:00,40.3,40.7,1307.0,12.5,193.0
2026-01-01 16:00:00,38.8,39.3,1918.0,16.4,177.0
2026-01-01 17:00:00,42.8,43.3,3234.0,25.0,140.0
2026-01-01 18:00:00,42.4,42.6,4860.0,36.7,91.0
2026-01-01 19:00:00,52.9,53.2,5795.0,57.2,35.0
2026-01-01 20:00:00,53.4,53.7,5459.0,61.0,28.0
2026-01-01 21:00:00,61.7,61.9,4430.0,66.3,19.0
2026-01-01 22:00:00,72.9,73.1,3445.0,69.7,11.0
2026-01-01 23:00:00,76.6,77.1,2725.0,70.0,7.0
2026-01-02 00:00:00,76.1,76.6,2048.0,68.5,4.0
2026-01-02 01:00:00,78.2,78.7,1481.0,66.0,2.0
2026-01-02 02:00:00,69.4,69.6,999.0,62.5,1.0
2026-01-02 03:00:00,68.7,69.2,628.0,57.9,0.0
2026-01-02 04:00:00,65.0,65.7,506.0,53.5,2.0
2026-01-02 05:00:00,58.3,59.6,838.0,49.6,7.0
2026-01-02 06:00:00,56.0,57.7,1420.0,45.7,15.0
2026-01-02 07:00:00,49.4,50.9,1782.0,42.5,9.0
2026-01-02 08:00:00,42.7,44.4,1678.0,37.4,27.0
2026-01-02 09:00:00,33.2,33.4,1354.0,30.2,52.0
2026-01-02 10:00:00,28.4,28.5,1072.0,24.1,75.0
2026-01-02 11:00:00,26.9,27.0,893.0,20.1,94.0
2026-01-02 12:00:00,26.1,26.2,758.0,17.2,111.0
2026-01-02 13:00:00,26.0,26.1,749.0,15.9,123.0
2026-01-02 14:00:00,26.5,26.7,810.0,15.7,129.0
2026-01-02 15:00:00,28.3,28.6,998.0,17.0,129.0
2026-01-02 16:00:00,31.8,31.9,1568.0,21.9,121.0
2026-01-02 17:00:00,43.4,43.7,2999.0,33.6,100.0
2026-01-02 18:00:00,59.8,60.1,4812.0,48.9,72.0
2026-01-02 19:00:00,76.4,76.8,5828.0,75.3,42.0
2026-01-02 20:00:00,101.0,101.3,5341.0,83.4,30.0
2026-01-02 21:00:00,112.5,112.9,4057.0,94.2,15.0
2026-01-02 22:00:00,115.0,115.5,2915.0,99.0,4.0
2026-01-02 23:00:00,111.5,111.8,2240.0,92.1,4.0
2026-01-03 00:00:00,100.4,100.8,1707.0,79.3,9.0
2026-01-03 01:00:00,99.2,99.7,1286.0,68.6,13.0
2026-01-03 02:00:00,102.2,102.7,934.0,63.3,12.0
2026-01-03 03:00:00,102.7,103.4,694.0,60.2,9.0
2026-01-03 04:00:00,106.6,107.3,663.0,58.2,8.0
2026-01-03 05:00:00,111.1,111.8,1015.0,58.3,10.0
2026-01-03 06:00:00,115.7,116.4,1578.0,59.5,15.0
2026-01-03 07:00:00,114.8,115.7,1927.0,69.6,15.0
2026-01-03 08:00:00,95.9,97.3,1839.0,61.3,36.0
2026-01-03 09:00:00,71.5,72.6,1538.0,49.7,64.0
2026-01-03 10:00:00,58.6,59.5,1277.0,40.7,88.0
2026-01-03 11:00:00,49.6,50.4,1106.0,36.8,102.0
2026-01-03 12:00:00,44.0,44.8,975.0,35.3,112.0
2026-01-03 13:00:00,43.2,43.9,981.0,34.6,115.0
2026-01-03 14:00:00,56.7,57.6,1169.0,33.2,112.0
2026-01-03 15:00:00,52.9,53.7,1494.0,32.4,103.0
2026-01-03 16:00:00,53.0,53.6,1918.0,34.6,90.0
2026-01-03 17:00:00,53.3,53.8,2564.0,42.1,71.0
2026-01-03 18:00:00,54.0,54.2,3309.0,52.6,48.0
2026-01-03 19:00:00,73.8,74.3,3745.0,81.1,15.0
2026-01-03 20:00:00,83.8,84.5,3678.0,86.8,10.0
2026-01-03 21:00:00,100.4,101.3,3302.0,94.1,3.0
2026-01-03 22:00:00,113.2,114.8,2795.0,96.1,0.0
2026-01-03 23:00:00,99.9,100.6,2094.0,87.9,4.0
2026-01-04 00:00:00,89.2,89.6,1260.0,74.3,11.0
2026-01-04 01:00:00,81.5,82.0,658.0,62.7,16.0
2026-01-04 02:00:00,75.4,75.9,431.0,55.9,16.0
2026-01-04 03:00:00,73.8,74.0,435.0,51.2,13.0
2026-01-04 04:00:00,74.3,74.7,602.0,47.5,15.0
2026-01-04 05:00:00,71.0,71.5,1030.0,45.5,22.0
2026-01-04 06:00:00,74.3,75.0,1622.0,44.6,33.0
2026-01-04 07:00:00,73.1,73.8,2015.0,43.6,47.0
2026-01-04 08:00:00,46.6,46.7,2038.0,35.6,80.0
2026-01-04 09:00:00,34.8,34.9,1862.0,24.4,127.0
2026-01-04 10:00:00,35.3,35.5,1638.0,15.6,169.0
2026-01-04 11:00:00,37.3,37.5,1337.0,10.9,206.0
2026-01-04 12:00:00,39.9,40.2,989.0,8.6,239.0
2026-01-04 13:00:00,42.4,42.6,833.0,8.5,251.0
2026-01-04 14:00:00,43.1,43.2,941.0,9.7,229.0
2026-01-04 15:00:00,41.1,41.2,1241.0,13.0,186.0
2026-01-04 16:00:00,37.8,38.0,1761.0,21.5,143.0
2026-01-04 17:00:00,43.5,43.5,2786.0,39.2,103.0
2026-01-04 18:00:00,65.2,65.4,4030.0,62.0,62.0
2026-01-04 19:00:00,64.7,64.7,4662.0,63.9,59.0
2026-01-04 20:00:00,78.9,79.2,4145.0,71.1,45.0
2026-01-04 21:00:00,99.2,99.7,3015.0,80.9,26.0
2026-01-04 22:00:00,92.0,92.2,2051.0,86.7,13.0
2026-01-04 23:00:00,91.3,91.5,1538.0,84.5,12.0
2026-01-05 00:00:00,101.3,101.5,1192.0,78.4,17.0
2026-01-05 01:00:00,106.6,107.1,937.0,74.1,19.0
2026-01-05 02:00:00,127.6,127.6,702.0,74.9,13.0
2026-01-05 03:00:00,138.8,138.8,559.0,77.6,4.0
2026-01-05 04:00:00,140.2,140.2,641.0,78.5,0.0
2026-01-05 05:00:00,143.0,143.4,1170.0,76.6,4.0
2026-01-05 06:00:00,122.0,122.5,1925.0,73.0,14.0
2026-01-05 07:00:00,99.7,102.0,2377.0,70.2,17.0
2026-01-05 08:00:00,81.3,81.7,2228.0,60.6,36.0
2026-01-05 09:00:00,54.8,55.1,1777.0,47.2,63.0
2026-01-05 10:00:00,42.6,43.0,1384.0,35.2,89.0
2026-01-05 11:00:00,37.5,37.8,1139.0,25.8,114.0
2026-01-05 12:00:00,35.3,35.6,954.0,17.9,137.0
2026-01-05 13:00:00,35.7,36.1,923.0,13.1,153.0
2026-01-05 14:00:00,35.7,36.1,1014.0,11.4,160.0
2026-01-05 15:00:00,38.4,38.8,1260.0,12.9,158.0
2026-01-05 16:00:00,39.7,40.2,1852.0,19.4,146.0
2026-01-05 17:00:00,45.9,46.2,3192.0,35.1,116.0
