polutan,segmen,model_terbaik,mae_before,rmse_before,r2_before,mae_tuned,rmse_tuned,r2_tuned,mae_final,rmse_final,r2_final,model_path
PM25,PAGI,Lasso,0.8525,1.1143,0.9948,1.0366,1.4168,0.9834,0.8525,1.1143,0.9948,models/pm25_pagi_best.pkl
PM10,PAGI,Lasso,0.895,1.1619,0.9934,1.1486,1.5673,0.9793,0.895,1.1619,0.9934,models/pm10_pagi_best.pkl
CO,PAGI,ExtraTreesRegressor,0.2245,0.2868,0.6733,0.1594,0.1978,0.718,0.1594,0.1978,0.718,models/co_pagi_best.pkl
NO2,PAGI,LGBMRegressor,4.5483,5.8697,0.796,3.2362,4.0677,0.7595,3.2362,4.0677,0.7595,models/no2_pagi_best.pkl
O3,PAGI,ExtraTreesRegressor,14.8967,19.2176,0.8147,17.6389,22.0183,0.7443,14.8967,19.2176,0.8147,models/o3_pagi_best.pkl
PM25,SIANG,BayesianRidge,0.578,0.7674,0.987,0.6332,0.8947,0.9764,0.578,0.7674,0.987,models/pm25_siang_best.pkl
PM10,SIANG,BayesianRidge,0.5654,0.7594,0.9867,0.6255,0.8861,0.9752,0.5654,0.7594,0.9867,models/pm10_siang_best.pkl
CO,SIANG,GradientBoostingRegressor,0.1978,0.257,0.6034,0.1515,0.2057,0.7105,0.1515,0.2057,0.7105,models/co_siang_best.pkl
NO2,SIANG,LGBMRegressor,3.0296,4.0863,0.7619,3.0341,3.8935,0.749,3.0296,4.0863,0.7619,models/no2_siang_best.pkl
O3,SIANG,BayesianRidge,18.4591,23.0501,0.6109,11.3752,16.5023,0.7584,11.3752,16.5023,0.7584,models/o3_siang_best.pkl
PM25,SORE_MALAM,Lasso,0.592,0.8208,0.9969,0.6774,0.9176,0.9918,0.592,0.8208,0.9969,models/pm25_sore_malam_best.pkl
PM10,SORE_MALAM,Lasso,0.55,0.7452,0.9973,0.6545,0.884,0.992,0.55,0.7452,0.9973,models/pm10_sore_malam_best.pkl
CO,SORE_MALAM,LGBMRegressor,0.3681,0.467,0.5641,0.232,0.3053,0.7916,0.232,0.3053,0.7916,models/co_sore_malam_best.pkl
NO2,SORE_MALAM,ElasticNet,5.4393,7.6449,0.764,3.9894,5.0328,0.7817,3.9894,5.0328,0.7817,models/no2_sore_malam_best.pkl
O3,SORE_MALAM,GradientBoostingRegressor,10.6034,13.9629,0.5508,12.0921,15.9515,0.3565,10.6034,13.9629,0.5508,models/o3_sore_malam_best.pkl
