polutan,segmen,model_terbaik,mae_before,rmse_before,r2_before,mae_final,rmse_final,r2_final,status
PM25,PAGI,Lasso,0.8899,1.1638,0.9944,0.8899,1.1638,0.9944,🔄 STABIL
PM10,PAGI,Lasso,0.9283,1.203,0.9932,0.9283,1.203,0.9932,🔄 STABIL
CO,PAGI,ExtraTreesRegressor,2.8481,3.6531,0.6346,1.572,1.9194,0.8007,✅ MEMBAIK
NO2,PAGI,ExtraTreesRegressor,4.7517,6.1191,0.7869,3.4095,3.9721,0.7706,⚠️ TURUN
O3,PAGI,CatBoostRegressor,15.4293,20.1169,0.7965,15.4293,20.1169,0.7965,🔄 STABIL
PM25,SIANG,Ridge,0.6152,0.8084,0.9856,0.6152,0.8084,0.9856,🔄 STABIL
PM10,SIANG,Ridge,0.5911,0.7968,0.9855,0.5911,0.7968,0.9855,🔄 STABIL
CO,SIANG,CatBoostRegressor,0.0293,0.0373,0.5911,0.0293,0.0373,0.5911,🔄 STABIL
NO2,SIANG,LGBMRegressor,3.2387,4.3527,0.731,2.9754,3.8718,0.7518,✅ MEMBAIK
O3,SIANG,LassoLars,22.5545,28.196,0.3983,14.6451,19.2681,0.6707,✅ MEMBAIK
PM25,SORE_MALAM,Lasso,0.6109,0.8402,0.9967,0.6109,0.8402,0.9967,🔄 STABIL
PM10,SORE_MALAM,Lasso,0.5602,0.7449,0.9972,0.5602,0.7449,0.9972,🔄 STABIL
CO,SORE_MALAM,CatBoostRegressor,0.9818,1.2121,0.4594,0.9818,1.2121,0.4594,🔄 STABIL
NO2,SORE_MALAM,ElasticNet,5.6586,7.9588,0.7443,4.1777,5.2345,0.7639,✅ MEMBAIK
O3,SORE_MALAM,CatBoostRegressor,10.0076,13.1246,0.6022,10.0076,13.1246,0.6022,🔄 STABIL
